                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4937,                 2.6295,                  1.021,                0.88089,                0.75073,                0.86443,                0.46901,                    1.4,                 1.8431,                0.93524,              0.0033283,              0.0033283,              0.0033283
                      2,                 1.4233,                 1.2383,                 1.0114,                0.86226,                0.77713,                0.87167,                0.45277,                 1.4312,                 1.2073,                0.98223,              0.0066396,              0.0066396,              0.0066396
                      3,                 1.4704,                 1.0386,                 1.0308,                0.85684,                0.75473,                0.82842,                0.44464,                 1.4489,                 1.0177,                 1.0152,               0.009929,               0.009929,               0.009929
                      4,                 1.4952,                0.96351,                 1.0645,                0.91156,                0.77713,                0.86152,                 0.4564,                 1.4456,                 1.1453,                 1.0173,               0.009901,               0.009901,               0.009901
                      5,                 1.4402,                0.88052,                 1.0567,                0.83686,                0.78592,                0.84601,                0.47829,                 1.3569,                0.89164,                 1.0359,               0.009901,               0.009901,               0.009901
                      6,                 1.4081,                0.85282,                 1.0506,                0.85746,                0.79385,                 0.8644,                0.49984,                 1.3145,                0.82774,                0.99379,               0.009868,               0.009868,               0.009868
                      7,                 1.3699,                0.80746,                 1.0372,                0.88995,                0.81525,                 0.8843,                0.52564,                 1.3215,                0.77036,                 1.0344,               0.009835,               0.009835,               0.009835
                      8,                 1.3758,                0.80382,                 1.0293,                 0.8817,                0.83578,                0.89495,                0.52241,                 1.2967,                 0.7753,                  1.011,               0.009802,               0.009802,               0.009802
                      9,                 1.3244,                0.76966,                 1.0141,                0.90376,                0.82405,                0.88602,                0.52407,                 1.3177,                0.75393,                0.98312,               0.009769,               0.009769,               0.009769
                     10,                 1.3215,                0.75244,                 1.0124,                0.91269,                0.82773,                0.89364,                0.50633,                 1.2713,                0.77742,                0.98474,               0.009736,               0.009736,               0.009736
                     11,                 1.3149,                0.74976,                  1.009,                0.91021,                0.83242,                0.91582,                 0.5296,                 1.2873,                0.74223,                0.97556,               0.009703,               0.009703,               0.009703
                     12,                  1.287,                0.73705,                 1.0052,                0.92679,                0.81673,                0.89365,                0.52789,                 1.2848,                0.83449,                0.99059,                0.00967,                0.00967,                0.00967
                     13,                 1.3026,                0.73229,                 1.0003,                0.93858,                0.80059,                0.90744,                0.55008,                 1.2888,                0.67097,                0.98924,               0.009637,               0.009637,               0.009637
                     14,                 1.2671,                 0.7096,                0.99541,                0.92066,                0.82698,                0.91714,                0.54531,                 1.2504,                0.66761,                0.97768,               0.009604,               0.009604,               0.009604
                     15,                 1.2575,                0.70301,                0.99513,                 0.9046,                0.83425,                 0.9006,                0.54072,                 1.3111,                0.68989,                0.98651,               0.009571,               0.009571,               0.009571
                     16,                 1.2594,                0.70047,                 0.9896,                0.91108,                0.81132,                0.88798,                0.52687,                 1.2838,                0.73838,                0.97692,               0.009538,               0.009538,               0.009538
                     17,                 1.2493,                0.69444,                0.98704,                 0.9424,                0.79472,                0.91192,                0.55197,                 1.2551,                0.63294,                0.98237,               0.009505,               0.009505,               0.009505
                     18,                 1.2432,                0.69421,                0.98301,                0.91315,                0.79179,                0.89354,                0.52241,                  1.253,                0.69922,                0.98231,               0.009472,               0.009472,               0.009472
                     19,                 1.2362,                0.68188,                0.98532,                0.91143,                0.83578,                0.90643,                0.54687,                 1.2705,                0.64281,                0.98223,               0.009439,               0.009439,               0.009439
                     20,                 1.2278,                0.67058,                 0.9824,                0.92595,                0.83284,                0.90793,                0.55468,                 1.2534,                0.61422,                0.95767,               0.009406,               0.009406,               0.009406
                     21,                 1.2221,                0.67479,                0.97829,                 0.9014,                0.83111,                0.90795,                 0.5459,                 1.2838,                0.64401,                0.98433,               0.009373,               0.009373,               0.009373
                     22,                 1.2237,                0.67095,                0.97444,                0.93203,                 0.8043,                 0.9169,                0.55939,                 1.2221,                0.63402,                0.97048,                0.00934,                0.00934,                0.00934
                     23,                 1.2255,                0.67104,                0.97828,                0.92985,                0.81632,                0.91601,                 0.5554,                  1.238,                0.62226,                0.97044,               0.009307,               0.009307,               0.009307
                     24,                 1.2213,                0.66665,                0.98406,                0.90879,                0.87658,                0.93447,                0.56492,                 1.2716,                 0.6532,                0.98715,               0.009274,               0.009274,               0.009274
                     25,                 1.1852,                0.64016,                0.96695,                0.94039,                0.82405,                0.92644,                0.57334,                   1.21,                0.61934,                0.96598,               0.009241,               0.009241,               0.009241
                     26,                 1.1912,                0.64138,                0.96807,                 0.8849,                0.81818,                0.89051,                 0.5047,                 1.3033,                0.86842,                0.97866,               0.009208,               0.009208,               0.009208
                     27,                 1.1813,                0.64048,                0.96896,                0.90334,                0.82217,                0.90283,                0.54217,                 1.2536,                0.72664,                0.95578,               0.009175,               0.009175,               0.009175
                     28,                 1.1891,                0.63343,                 0.9755,                0.93183,                0.84185,                0.92616,                0.56981,                 1.1864,                0.68138,                0.95797,               0.009142,               0.009142,               0.009142
                     29,                   1.19,                 0.6372,                0.96705,                0.92321,                0.84615,                0.92495,                0.58193,                 1.1986,                0.66357,                0.95778,               0.009109,               0.009109,               0.009109
                     30,                 1.1704,                 0.6299,                0.96366,                0.93375,                0.83284,                0.92574,                0.56355,                  1.212,                0.62834,                0.96009,               0.009076,               0.009076,               0.009076
                     31,                 1.1714,                0.62925,                0.96245,                0.93686,                0.83578,                0.91231,                0.57045,                 1.2119,                0.65302,                0.96119,               0.009043,               0.009043,               0.009043
                     32,                 1.1624,                0.63014,                0.96184,                  0.933,                0.85758,                 0.9316,                0.57693,                 1.2404,                0.60606,                0.97277,                0.00901,                0.00901,                0.00901
                     33,                 1.1423,                0.61384,                0.95593,                0.93322,                0.85337,                0.92625,                0.57979,                 1.2122,                0.60267,                0.95018,               0.008977,               0.008977,               0.008977
                     34,                 1.1643,                0.61919,                0.96925,                0.94172,                0.84457,                0.93257,                0.58802,                 1.2033,                0.57358,                 0.9483,               0.008944,               0.008944,               0.008944
                     35,                 1.1535,                0.61642,                0.95814,                  0.933,                0.85044,                0.93572,                0.58577,                 1.1985,                0.58739,                0.95279,               0.008911,               0.008911,               0.008911
                     36,                 1.1532,                0.61555,                0.95393,                0.92274,                 0.8563,                 0.9399,                 0.5724,                 1.1984,                0.58335,                0.94209,               0.008878,               0.008878,               0.008878
                     37,                 1.1483,                0.61632,                0.95666,                0.90477,                 0.8563,                0.93432,                 0.5859,                 1.1768,                0.58135,                0.94408,               0.008845,               0.008845,               0.008845
                     38,                 1.1596,                0.60854,                0.95779,                0.92941,                0.84751,                0.93931,                0.57946,                 1.2094,                0.60267,                0.95472,               0.008812,               0.008812,               0.008812
                     39,                 1.1362,                0.59381,                0.95083,                 0.9452,                0.84751,                0.93863,                0.58331,                 1.2006,                0.57223,                0.95681,               0.008779,               0.008779,               0.008779
                     40,                 1.1383,                0.60653,                0.95348,                0.91871,                0.85337,                0.93036,                0.57111,                 1.2013,                0.57307,                0.95532,               0.008746,               0.008746,               0.008746
                     41,                 1.1492,                0.60846,                0.95707,                0.93993,                0.83871,                0.92754,                0.56887,                 1.2499,                0.58712,                0.94298,               0.008713,               0.008713,               0.008713
                     42,                 1.1475,                0.60075,                0.95499,                0.93208,                0.84514,                0.93544,                0.58848,                 1.2165,                0.57385,                0.95352,                0.00868,                0.00868,                0.00868
                     43,                 1.1423,                0.60678,                0.95086,                0.95018,                0.83871,                0.93477,                 0.5941,                 1.1976,                0.58318,                0.94376,               0.008647,               0.008647,               0.008647
                     44,                 1.1385,                0.60896,                0.95453,                0.92786,                0.86217,                0.93588,                0.58008,                 1.1953,                0.56166,                0.94951,               0.008614,               0.008614,               0.008614
                     45,                 1.1408,                0.60063,                0.95318,                0.92207,                0.84164,                0.93081,                0.57328,                 1.2051,                 0.5762,                0.95322,               0.008581,               0.008581,               0.008581
                     46,                 1.1496,                0.60318,                0.94619,                0.93591,                0.83578,                0.93688,                0.58606,                  1.203,                 0.5636,                0.95013,               0.008548,               0.008548,               0.008548
                     47,                 1.1282,                0.59515,                0.94867,                0.93824,                0.84645,                0.93168,                0.57194,                  1.222,                0.58047,                0.95624,               0.008515,               0.008515,               0.008515
                     48,                 1.1343,                0.59732,                 0.9525,                0.95937,                0.83091,                0.93236,                0.58303,                 1.2148,                0.56875,                0.94297,               0.008482,               0.008482,               0.008482
                     49,                 1.1377,                0.59496,                0.94929,                0.91667,                0.82991,                0.92465,                0.55329,                 1.2461,                0.61912,                0.94716,               0.008449,               0.008449,               0.008449
                     50,                 1.1211,                0.59113,                0.94529,                0.93192,                0.86217,                0.93798,                0.59047,                 1.1769,                 0.5697,                0.94462,               0.008416,               0.008416,               0.008416
                     51,                 1.1104,                0.58239,                0.94355,                0.95501,                0.84164,                0.94386,                0.59966,                 1.1829,                0.54333,                 0.9412,               0.008383,               0.008383,               0.008383
                     52,                 1.1118,                 0.5813,                 0.9405,                0.90569,                 0.8827,                0.94355,                0.58766,                 1.1681,                  0.536,                0.93667,                0.00835,                0.00835,                0.00835
                     53,                 1.1102,                 0.5794,                0.94471,                0.95252,                0.82363,                0.92398,                 0.5731,                 1.2371,                0.56837,                0.94824,               0.008317,               0.008317,               0.008317
                     54,                 1.1203,                0.58663,                0.94523,                0.89927,                 0.8827,                0.94225,                 0.6008,                 1.1552,                0.56863,                0.93188,               0.008284,               0.008284,               0.008284
                     55,                 1.1076,                 0.5724,                0.94358,                0.92927,                0.83871,                0.93235,                0.59494,                 1.1991,                0.54147,                0.93614,               0.008251,               0.008251,               0.008251
                     56,                 1.1171,                0.58223,                0.94172,                 0.9477,                0.85016,                0.94669,                0.59804,                  1.176,                0.54228,                0.93676,               0.008218,               0.008218,               0.008218
                     57,                 1.0949,                 0.5707,                 0.9356,                0.94151,                0.85337,                0.93935,                  0.585,                 1.2037,                0.55249,                0.94297,               0.008185,               0.008185,               0.008185
                     58,                 1.0962,                0.57058,                0.94267,                0.92573,                 0.8651,                0.93641,                0.57707,                 1.2238,                0.56642,                0.94359,               0.008152,               0.008152,               0.008152
                     59,                 1.1125,                0.57658,                0.94431,                0.89799,                0.85337,                0.90799,                0.54482,                 1.2579,                0.60107,                0.94987,               0.008119,               0.008119,               0.008119
                     60,                 1.0975,                  0.569,                 0.9358,                0.90776,                0.86579,                0.94191,                0.58927,                 1.1851,                0.53126,                0.93406,               0.008086,               0.008086,               0.008086
                     61,                 1.1004,                0.57125,                 0.9342,                 0.9177,                0.87977,                0.94828,                0.58355,                 1.1942,                0.54358,                0.93975,               0.008053,               0.008053,               0.008053
                     62,                 1.1109,                0.57756,                0.93915,                0.93641,                0.86367,                0.94109,                0.59856,                 1.1767,                0.53094,                0.93522,                0.00802,                0.00802,                0.00802
                     63,                 1.0991,                 0.5704,                0.94203,                0.94241,                0.85337,                0.94409,                0.58571,                  1.196,                0.53274,                0.93884,               0.007987,               0.007987,               0.007987
                     64,                 1.1153,                0.57556,                0.93665,                0.93083,                0.86217,                0.94152,                0.59485,                 1.1768,                0.52289,                0.93666,               0.007954,               0.007954,               0.007954
                     65,                 1.0992,                0.56986,                0.93404,                0.88539,                0.89736,                0.94401,                0.58855,                 1.1957,                0.54575,                0.94048,               0.007921,               0.007921,               0.007921
                     66,                 1.0809,                0.56228,                0.92827,                0.92671,                0.85289,                0.93892,                0.58243,                 1.2009,                0.53998,                 0.9416,               0.007888,               0.007888,               0.007888
                     67,                 1.0869,                  0.563,                0.93255,                0.88546,                0.89736,                0.94213,                0.60194,                 1.1724,                0.51689,                0.93972,               0.007855,               0.007855,               0.007855
                     68,                 1.0853,                0.56031,                0.93779,                0.90119,                0.88563,                0.94717,                0.60287,                 1.1833,                0.51977,                0.93983,               0.007822,               0.007822,               0.007822
                     69,                 1.0894,                0.56706,                0.93433,                0.94623,                 0.8563,                0.94066,                0.59514,                 1.1823,                0.52211,                0.94085,               0.007789,               0.007789,               0.007789
                     70,                  1.098,                0.56863,                0.93794,                0.93882,                0.85508,                0.94187,                0.59256,                 1.1733,                0.51763,                0.93656,               0.007756,               0.007756,               0.007756
                     71,                  1.078,                  0.548,                0.93193,                0.93617,                0.86025,                0.94674,                0.61529,                 1.1597,                0.50828,                0.93374,               0.007723,               0.007723,               0.007723
                     72,                 1.0746,                0.54785,                0.92754,                0.93438,                 0.8563,                0.94821,                0.60122,                 1.1647,                0.51581,                 0.9293,                0.00769,                0.00769,                0.00769
                     73,                 1.0792,                0.55203,                0.93144,                0.95457,                0.86274,                0.94985,                0.61635,                 1.1714,                0.50982,                0.93661,               0.007657,               0.007657,               0.007657
                     74,                 1.0738,                0.56074,                0.92988,                0.91336,                0.86562,                0.93882,                0.60651,                 1.1743,                 0.5169,                0.93716,               0.007624,               0.007624,               0.007624
                     75,                 1.0835,                0.55503,                0.92837,                0.94845,                0.84751,                0.94824,                0.60544,                 1.1637,                0.51403,                0.92619,               0.007591,               0.007591,               0.007591
                     76,                 1.0987,                0.56476,                0.93217,                 0.9362,                0.86059,                0.94701,                0.60716,                 1.1639,                0.51896,                0.93159,               0.007558,               0.007558,               0.007558
                     77,                 1.0742,                0.54962,                0.92665,                0.93127,                 0.8563,                0.93849,                0.58949,                 1.1972,                0.53375,                0.93934,               0.007525,               0.007525,               0.007525
                     78,                 1.0917,                0.55708,                0.93059,                0.89655,                 0.8915,                0.94656,                0.60729,                 1.1364,                0.50053,                 0.9266,               0.007492,               0.007492,               0.007492
                     79,                 1.0763,                0.56143,                0.93018,                0.94499,                 0.8564,                0.94456,                0.60758,                 1.1548,                0.50509,                0.93603,               0.007459,               0.007459,               0.007459
                     80,                  1.083,                0.56294,                0.93243,                0.94827,                 0.8651,                0.94955,                0.61058,                 1.1621,                0.51406,                0.93417,               0.007426,               0.007426,               0.007426
                     81,                 1.0856,                0.55731,                0.93374,                0.94147,                0.87097,                0.94819,                 0.6135,                 1.1481,                0.51262,                0.92422,               0.007393,               0.007393,               0.007393
                     82,                 1.0676,                 0.5471,                0.92173,                0.93651,                 0.8739,                0.95033,                0.61118,                  1.156,                0.50553,                0.92268,                0.00736,                0.00736,                0.00736
                     83,                 1.0578,                0.54124,                0.92433,                0.91425,                0.87549,                0.94763,                0.60651,                 1.1693,                0.50986,                0.92615,               0.007327,               0.007327,               0.007327
                     84,                 1.0589,                0.54031,                0.92113,                0.94058,                0.85924,                0.94383,                0.60428,                 1.1608,                 0.5137,                0.92719,               0.007294,               0.007294,               0.007294
                     85,                 1.0597,                 0.5414,                0.91613,                0.94385,                0.85924,                0.93958,                0.57652,                 1.2219,                0.52442,                0.94111,               0.007261,               0.007261,               0.007261
                     86,                 1.0549,                0.53717,                0.91587,                0.94534,                0.85337,                0.94868,                0.60986,                 1.1554,                0.50585,                0.92958,               0.007228,               0.007228,               0.007228
                     87,                 1.0664,                 0.5484,                0.92405,                0.94749,                0.85924,                0.95009,                0.60963,                 1.1547,                0.50417,                0.92308,               0.007195,               0.007195,               0.007195
                     88,                 1.0626,                0.54418,                 0.9248,                0.93837,                0.84843,                0.94655,                0.59334,                 1.1787,                0.51464,                0.92862,               0.007162,               0.007162,               0.007162
                     89,                 1.0511,                0.54138,                  0.921,                0.93463,                0.88047,                0.95477,                0.62448,                 1.1275,                0.49313,                0.92051,               0.007129,               0.007129,               0.007129
                     90,                 1.0582,                0.54912,                0.92441,                 0.9226,                 0.8739,                0.94844,                0.62292,                   1.12,                0.49872,                0.91805,               0.007096,               0.007096,               0.007096
                     91,                 1.0582,                0.53941,                0.92206,                0.94276,                0.86938,                0.95428,                0.61906,                 1.1299,                0.49152,                0.92259,               0.007063,               0.007063,               0.007063
                     92,                 1.0637,                0.53886,                0.91906,                0.93399,                 0.8714,                0.94929,                0.61789,                 1.1318,                0.49878,                0.92479,                0.00703,                0.00703,                0.00703
                     93,                 1.0544,                0.53839,                0.92138,                0.93941,                0.86395,                0.94915,                0.61902,                 1.1273,                0.50203,                0.91851,               0.006997,               0.006997,               0.006997
                     94,                 1.0658,                0.53995,                0.92243,                0.94609,                0.86804,                0.94704,                0.60644,                 1.1352,                0.49909,                0.91845,               0.006964,               0.006964,               0.006964
                     95,                 1.0698,                0.54952,                0.92588,                0.92832,                0.87348,                0.95021,                 0.6163,                 1.1184,                0.50276,                0.91201,               0.006931,               0.006931,               0.006931
                     96,                 1.0458,                 0.5352,                0.91227,                0.95005,                0.85924,                0.95149,                0.62839,                 1.1102,                0.50925,                0.90722,               0.006898,               0.006898,               0.006898
                     97,                 1.0456,                0.53267,                0.91806,                0.93662,                0.86677,                0.95211,                0.61873,                 1.1266,                0.50104,                0.91272,               0.006865,               0.006865,               0.006865
                     98,                 1.0375,                0.53101,                0.91497,                 0.9483,                0.86217,                0.95131,                0.61266,                 1.1364,                0.49372,                0.91812,               0.006832,               0.006832,               0.006832
                     99,                 1.0416,                0.53527,                0.91983,                0.94179,                 0.8541,                0.95201,                0.62309,                 1.1176,                0.48789,                0.91426,               0.006799,               0.006799,               0.006799
                    100,                 1.0436,                 0.5286,                 0.9168,                0.93102,                0.87683,                0.95143,                 0.6171,                 1.1245,                0.49126,                0.91323,               0.006766,               0.006766,               0.006766
                    101,                 1.0489,                0.53548,                0.91684,                0.93408,                0.87097,                0.95343,                0.61814,                  1.114,                0.49134,                 0.9113,               0.006733,               0.006733,               0.006733
                    102,                 1.0466,                0.54024,                0.91232,                0.93126,                0.87403,                0.95271,                0.61733,                  1.109,                0.48608,                0.90877,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.0426,                0.52776,                0.91734,                0.93208,                0.87097,                0.95343,                0.62467,                 1.1015,                0.48438,                0.91029,               0.006667,               0.006667,               0.006667
                    104,                  1.035,                0.53126,                0.91449,                0.92502,                 0.8739,                0.95213,                0.61534,                  1.112,                0.49143,                0.90798,               0.006634,               0.006634,               0.006634
                    105,                 1.0314,                0.52896,                0.91966,                0.94173,                 0.8739,                0.95209,                0.62019,                 1.1214,                0.48694,                0.91679,               0.006601,               0.006601,               0.006601
                    106,                 1.0326,                0.52652,                0.91075,                0.94911,                0.86804,                0.95323,                0.61609,                 1.1324,                0.48532,                0.91855,               0.006568,               0.006568,               0.006568
                    107,                 1.0141,                0.51447,                0.90873,                0.93635,                0.86804,                0.94869,                0.61319,                 1.1364,                0.48571,                0.91618,               0.006535,               0.006535,               0.006535
                    108,                 1.0239,                0.52414,                 0.9122,                0.94166,                 0.8651,                0.94968,                0.61738,                  1.122,                0.48226,                 0.9118,               0.006502,               0.006502,               0.006502
                    109,                 1.0249,                0.52076,                 0.9099,                 0.9427,                0.86848,                0.95203,                0.62331,                 1.1005,                0.48831,                0.90493,               0.006469,               0.006469,               0.006469
                    110,                 1.0339,                0.52811,                0.91464,                0.95135,                0.86025,                0.95474,                0.62383,                 1.0973,                0.48617,                0.90571,               0.006436,               0.006436,               0.006436
                    111,                 1.0227,                  0.522,                0.91095,                0.93411,                0.87304,                0.95401,                0.62324,                 1.1037,                0.48246,                0.90914,               0.006403,               0.006403,               0.006403
                    112,                 1.0389,                0.52912,                0.91666,                0.93682,                 0.8739,                 0.9545,                0.62641,                 1.0982,                 0.4843,                0.90728,                0.00637,                0.00637,                0.00637
                    113,                 1.0344,                0.52671,                0.91147,                0.92764,                0.87977,                0.95386,                0.62641,                 1.1135,                0.48478,                0.90686,               0.006337,               0.006337,               0.006337
                    114,                 1.0249,                0.52346,                0.91606,                0.93834,                 0.8739,                0.95271,                 0.6282,                 1.1008,                0.48248,                0.90364,               0.006304,               0.006304,               0.006304
                    115,                 1.0346,                0.52545,                0.91736,                0.94569,                0.86801,                0.95431,                0.62614,                 1.0873,                0.47755,                 0.9039,               0.006271,               0.006271,               0.006271
                    116,                 1.0242,                 0.5194,                0.91567,                0.94242,                0.86403,                0.95442,                0.62101,                 1.0988,                0.47696,                0.90411,               0.006238,               0.006238,               0.006238
                    117,                 1.0326,                0.52074,                0.91025,                0.95182,                0.86898,                0.95477,                0.62014,                 1.1108,                0.47769,                0.91011,               0.006205,               0.006205,               0.006205
                    118,                 1.0317,                0.52541,                0.91239,                0.93755,                0.87097,                0.95551,                0.62338,                 1.1195,                0.47776,                0.91087,               0.006172,               0.006172,               0.006172
                    119,                 1.0101,                0.51336,                0.90571,                0.93411,                0.87299,                0.95551,                 0.6293,                 1.1051,                0.47363,                0.90748,               0.006139,               0.006139,               0.006139
                    120,                 1.0171,                0.52001,                 0.9099,                0.93645,                 0.8651,                0.95508,                0.62639,                 1.1049,                0.47487,                0.90405,               0.006106,               0.006106,               0.006106
                    121,                 1.0234,                0.52443,                0.90627,                0.91612,                0.88563,                0.95576,                 0.6274,                 1.0959,                0.46723,                0.90259,               0.006073,               0.006073,               0.006073
                    122,                 1.0105,                0.51656,                0.91061,                0.94867,                0.86217,                0.95731,                0.63319,                 1.0975,                0.46814,                0.90338,                0.00604,                0.00604,                0.00604
                    123,                 1.0054,                0.51592,                0.90478,                0.94662,                 0.8651,                0.95896,                0.63219,                 1.0961,                0.46491,                0.90583,               0.006007,               0.006007,               0.006007
                    124,                 1.0069,                0.51234,                0.90297,                0.93257,                0.86804,                0.95869,                0.63343,                 1.0935,                0.46735,                0.90544,               0.005974,               0.005974,               0.005974
                    125,                 1.0168,                0.52209,                0.90836,                0.95779,                0.86501,                 0.9576,                0.63316,                 1.1063,                0.47176,                0.90813,               0.005941,               0.005941,               0.005941
                    126,                 1.0085,                0.51199,                0.90779,                0.95191,                0.85924,                0.95497,                0.63076,                 1.1063,                0.46853,                0.90715,               0.005908,               0.005908,               0.005908
                    127,                 1.0102,                0.51324,                0.90381,                 0.9395,                 0.8652,                0.95581,                0.63052,                 1.0945,                0.46732,                0.90774,               0.005875,               0.005875,               0.005875
                    128,                  1.012,                0.51351,                0.90487,                0.95335,                0.85924,                0.95865,                0.63059,                 1.0971,                0.46613,                0.90784,               0.005842,               0.005842,               0.005842
                    129,                 1.0069,                0.51461,                0.90846,                0.94207,                0.86804,                0.95621,                0.62711,                 1.1087,                0.46672,                0.90826,               0.005809,               0.005809,               0.005809
                    130,                 1.0144,                0.51123,                0.90569,                0.93706,                0.87318,                0.95984,                0.62417,                 1.1134,                 0.4659,                0.90816,               0.005776,               0.005776,               0.005776
                    131,                 1.0055,                0.51467,                0.90776,                0.95428,                0.85699,                0.96059,                0.62998,                 1.1122,                0.46611,                0.90881,               0.005743,               0.005743,               0.005743
